Year,location,latitude,longitude,num_of_people
1990,Australia,-28.86944,153.04453,2315
1995,Australia,-28.86944,153.04453,5562
2000,Australia,-28.86944,153.04453,8480
2005,Australia,-28.86944,153.04453,16130
2010,Australia,-28.86944,153.04453,29590
2015,Australia,-28.86944,153.04453,37092
2017,Australia,-28.86944,153.04453,38888
1990,Austria,48.210033,16.363449,1508
1995,Austria,48.210033,16.363449,1701
2000,Austria,48.210033,16.363449,1894
2005,Austria,48.210033,16.363449,2117
2010,Austria,48.210033,16.363449,2340
2015,Austria,48.210033,16.363449,2737
2017,Austria,48.210033,16.363449,3013
1990,Bahrain,26.156258,50.400505,20442
1995,Bahrain,26.156258,50.400505,24630
2000,Bahrain,26.156258,50.400505,28889
2005,Bahrain,26.156258,50.400505,49900
2010,Bahrain,26.156258,50.400505,81920
2015,Bahrain,26.156258,50.400505,78396
2017,Bahrain,26.156258,50.400505,80457
1990,Belgium,51.260197,4.402771,268
1995,Belgium,51.260197,4.402771,397
2000,Belgium,51.260197,4.402771,515
2005,Belgium,51.260197,4.402771,781
2010,Belgium,51.260197,4.402771,949
2015,Belgium,51.260197,4.402771,1061
2017,Belgium,51.260197,4.402771,1074
1990,Bhutan,26.90069,89.19951,24
1995,Bhutan,26.90069,89.19951,28
2000,Bhutan,26.90069,89.19951,33
2005,Bhutan,26.90069,89.19951,41
2010,Bhutan,26.90069,89.19951,49
2015,Bhutan,26.90069,89.19951,52
2017,Bhutan,26.90069,89.19951,53
1990,Bolivia,-17.413977,-66.165321,5
1995,Bolivia,-17.413977,-66.165321,11
2000,Bolivia,-17.413977,-66.165321,16
2005,Bolivia,-17.413977,-66.165321,20
2010,Bolivia,-17.413977,-66.165321,24
2015,Bolivia,-17.413977,-66.165321,28
2017,Bolivia,-17.413977,-66.165321,29
2005,Brazil,-23.533773,-46.62529,22
2010,Brazil,-23.533773,-46.62529,45
2015,Brazil,-23.533773,-46.62529,54
2017,Brazil,-23.533773,-46.62529,55
1990,BruneiDarussalam,4.58361,115.06667,659
1995,BruneiDarussalam,4.58361,115.06667,908
2000,BruneiDarussalam,4.58361,115.06667,1156
2005,BruneiDarussalam,4.58361,115.06667,1182
2010,BruneiDarussalam,4.58361,115.06667,1208
2015,BruneiDarussalam,4.58361,115.06667,1234
2017,BruneiDarussalam,4.58361,115.06667,1304
1990,Bulgaria,42.698334,23.319941,22
1995,Bulgaria,42.698334,23.319941,150
2000,Bulgaria,42.698334,23.319941,278
2005,Bulgaria,42.698334,23.319941,450
2010,Bulgaria,42.698334,23.319941,603
2015,Bulgaria,42.698334,23.319941,753
2017,Bulgaria,42.698334,23.319941,865
1990,Canada,-124.012891,48.370846,4203
1995,Canada,-124.012891,48.370846,13101
2000,Canada,-124.012891,48.370846,22310
2005,Canada,-124.012891,48.370846,33080
2010,Canada,-124.012891,48.370846,45325
2015,Canada,-124.012891,48.370846,50687
2017,Canada,-124.012891,48.370846,52698
1995,Chile,-33.447487,-70.673676,3
2000,Chile,-33.447487,-70.673676,6
2005,Chile,-33.447487,-70.673676,5
2010,Chile,-33.447487,-70.673676,3
2015,Chile,-33.447487,-70.673676,5
2017,Chile,-33.447487,-70.673676,5
1990,China,22.210928,113.552971,1858
1995,China,22.210928,113.552971,2376
2000,China,22.210928,113.552971,2895
2005,China,22.210928,113.552971,3193
2010,China,22.210928,113.552971,3492
2015,China,22.210928,113.552971,4018
2017,China,22.210928,113.552971,4106
1990,HongKongSAR,22.28552,114.15769,297
1995,HongKongSAR,22.28552,114.15769,332
2000,HongKongSAR,22.28552,114.15769,366
2005,HongKongSAR,22.28552,114.15769,400
2010,HongKongSAR,22.28552,114.15769,435
2015,HongKongSAR,22.28552,114.15769,444
2017,HongKongSAR,22.28552,114.15769,450
1990,CostaRica,9.934739,-84.087502,13
1995,CostaRica,9.934739,-84.087502,6
2000,CostaRica,9.934739,-84.087502,2
2005,CostaRica,9.934739,-84.087502,1
2010,CostaRica,9.934739,-84.087502,3
2015,CostaRica,9.934739,-84.087502,3
2017,CostaRica,9.934739,-84.087502,3
1990,Cyprus,35.095192,33.20343,162
1995,Cyprus,35.095192,33.20343,229
2000,Cyprus,35.095192,33.20343,296
2005,Cyprus,35.095192,33.20343,433
2010,Cyprus,35.095192,33.20343,694
2015,Cyprus,35.095192,33.20343,707
2017,Cyprus,35.095192,33.20343,695
1990,Czechia,50.598427,15.898574,8
1995,Czechia,50.598427,15.898574,12
2000,Czechia,50.598427,15.898574,16
2005,Czechia,50.598427,15.898574,70
2010,Czechia,50.598427,15.898574,118
2015,Czechia,50.598427,15.898574,123
2017,Czechia,50.598427,15.898574,127
1990,NorthKorea,37.90889,124.39806,74
1995,NorthKorea,37.90889,124.39806,86
2000,NorthKorea,37.90889,124.39806,97
2005,NorthKorea,37.90889,124.39806,118
2010,NorthKorea,37.90889,124.39806,138
2015,NorthKorea,37.90889,124.39806,152
2017,NorthKorea,37.90889,124.39806,153
1990,Denmark,55.676098,12.568337,241
1995,Denmark,55.676098,12.568337,320
2000,Denmark,55.676098,12.568337,398
2005,Denmark,55.676098,12.568337,553
2010,Denmark,55.676098,12.568337,708
2015,Denmark,55.676098,12.568337,1130
2017,Denmark,55.676098,12.568337,1245
1990,Egypt,31.205753,29.924526,112
1995,Egypt,31.205753,29.924526,143
2000,Egypt,31.205753,29.924526,186
2005,Egypt,31.205753,29.924526,221
2010,Egypt,31.205753,29.924526,239
2015,Egypt,31.205753,29.924526,283
2017,Egypt,31.205753,29.924526,239
1990,ElSalvador,13.90519,-89.500206,11
1995,ElSalvador,13.90519,-89.500206,9
2000,ElSalvador,13.90519,-89.500206,6
2005,ElSalvador,13.90519,-89.500206,6
2010,ElSalvador,13.90519,-89.500206,6
2015,ElSalvador,13.90519,-89.500206,6
2017,ElSalvador,13.90519,-89.500206,6
2010,Estonia,59.436962,24.753574,12
2015,Estonia,59.436962,24.753574,10
2017,Estonia,59.436962,24.753574,9
1990,Fiji,-17.713371,178.065033,1368
1995,Fiji,-17.713371,178.065033,1334
2000,Fiji,-17.713371,178.065033,1287
2005,Fiji,-17.713371,178.065033,1235
2010,Fiji,-17.713371,178.065033,1326
2015,Fiji,-17.713371,178.065033,1366
2017,Fiji,-17.713371,178.065033,1381
1990,Finland,60.165249,24.945831,115
1995,Finland,61.165249,24.945831,231
2000,Finland,62.165249,24.945831,347
2005,Finland,63.165249,24.945831,881
2010,Finland,64.165249,24.945831,1414
2015,Finland,65.165249,24.945831,2192
2017,Finland,66.165249,24.945831,2391
1990,France,48.858093,2.294694,2198
1995,France,48.858093,2.294694,2269
2000,France,48.858093,2.294694,2340
2005,France,48.858093,2.294694,3164
2010,France,48.858093,2.294694,4618
2015,France,48.858093,2.294694,5080
2017,France,48.858093,2.294694,5069
1990,Germany,52.520008,13.404954,4767
1995,Germany,52.520008,13.404954,5304
2000,Germany,52.520008,13.404954,5841
2005,Germany,52.520008,13.404954,6009
2010,Germany,52.520008,13.404954,6129
2015,Germany,52.520008,13.404954,6386
2017,Germany,52.520008,13.404954,7601
1990,Greece,37.98381,23.727539,7665
1995,Greece,37.98381,23.727539,6129
2000,Greece,37.98381,23.727539,4694
2005,Greece,37.98381,23.727539,7361
2010,Greece,37.98381,23.727539,10432
2015,Greece,37.98381,23.727539,9812
2017,Greece,37.98381,23.727539,9634
2015,Guinea,11.057462,-12.397943,1
1990,Hungary,47.497913,19.040236,60
1995,Hungary,47.497913,20.040236,53
2000,Hungary,47.497913,21.040236,46
2005,Hungary,47.497913,22.040236,57
2010,Hungary,47.497913,23.040236,68
2015,Hungary,47.497913,24.040236,71
2017,Hungary,47.497913,25.040236,73
2015,Iceland,64.128288,-21.827774,4
2017,Iceland,64.128288,-21.827774,3
1990,India,28.6448,77.216721,4375155
1995,India,28.6448,77.216721,4127135
2000,India,28.6448,77.216721,3879114
2005,India,28.6448,77.216721,3584076
2010,India,28.6448,77.216721,3289037
2015,India,28.6448,77.216721,3171022
2017,India,28.6448,77.216721,3139311
1990,Ireland,53.35014,-6.266155,157
