root,node,count
1990,Mauritius,50
1990,Seychelles,7
1990,Uganda,41
1990,Egypt,23
1990,Libya,66
1990,Namibia,18
1990,SouthAfrica,706
1990,China,1227
1990,HongKongSAR,103
1990,NorthKorea,53
1990,Japan,1035
1990,SouthKorea,4
1990,Bhutan,8
1990,India,2050262
1990,Maldives,731
1990,Nepal,457
1990,SriLanka,2
1990,BruneiDarussalam,66
1990,Malaysia,963
1990,Myanmar,212
1990,Philippines,31
1990,Singapore,2978
1990,Thailand,287
1990,Timor-Leste,43
1990,VietNam,10
1990,Bahrain,2049
1990,Cyprus,3
1990,Jordan,297
1990,Kuwait,17595
1990,Lebanon,136
1990,Oman,718
1990,Qatar,3480
1990,SaudiArabia,121984
1990,Turkey,6
1990,UnitedArabEmirates,15692
1990,Bulgaria,4
1990,Czechia,1
1990,Hungary,8
1990,Poland,3
1990,Romania,1
1990,Russia,652
1990,Denmark,163
1990,Finland,22
1990,Ireland,80
1990,Norway,208
1990,Sweden,1053
1990,UnitedKingdom,47917
1990,Greece,3420
1990,Italy,594
1990,Malta,3
1990,Portugal,4
1990,Spain,43
1990,Austria,501
1990,Belgium,89
1990,France,766
1990,Germany,394
1990,Luxembourg,12
1990,Netherlands,256
1990,Switzerland,159
1990,CostaRica,12
1990,Mexico,12
1990,Bolivia,2
1990,Canada,2157
1990,UnitedStatesofAmerica,7195
1990,Australia,927
1990,NewZealand,88
1990,Fiji,714
1990,NorthernMarianaIslands,13
1995,Mauritius,95
1995,Seychelles,6
1995,Uganda,41
1995,Egypt,22
1995,Libya,59
1995,Namibia,17
1995,SouthAfrica,404
1995,China,1480
1995,HongKongSAR,116
1995,NorthKorea,59
1995,Japan,2601
1995,SouthKorea,25
1995,Bhutan,9
1995,India,1946520
1995,Maldives,1786
1995,Nepal,468
1995,SriLanka,10
1995,BruneiDarussalam,90
1995,Malaysia,10126
1995,Myanmar,321
1995,Philippines,42
1995,Singapore,6340
1995,Thailand,497
1995,Timor-Leste,50
1995,VietNam,168
1995,Bahrain,3630
1995,Cyprus,5
1995,Jordan,1348
1995,Kuwait,18355
1995,Lebanon,664
1995,Oman,4536
1995,Qatar,5179
1995,SaudiArabia,124746
1995,Turkey,15
1995,UnitedArabEmirates,31631
1995,Bulgaria,69
1995,Czechia,2
1995,Hungary,7
1995,Poland,2
1995,Russia,377
1995,Denmark,196
1995,Finland,64
1995,Ireland,292
1995,Norway,247
1995,Sweden,1259
1995,UnitedKingdom,59936
1995,Greece,1755
1995,Italy,4189
1995,Malta,4
1995,Portugal,10
1995,Spain,76
1995,Austria,556
1995,Belgium,133
1995,France,804
1995,Germany,797
1995,Luxembourg,11
1995,Netherlands,385
1995,Switzerland,266
1995,CostaRica,5
1995,Mexico,8
1995,Bolivia,2
1995,Chile,1
1995,Canada,6773
1995,UnitedStatesofAmerica,19604
1995,Australia,2240
1995,NewZealand,335
1995,Fiji,680
1995,NorthernMarianaIslands,27
2000,Mauritius,211
2000,Seychelles,5
2000,Uganda,126
2000,Egypt,22
2000,Libya,53
2000,Namibia,17
2000,SouthAfrica,234
2000,China,1734
2000,HongKongSAR,128
2000,NorthKorea,64
2000,Japan,3861
2000,SouthKorea,53
2000,Bhutan,10
2000,India,1842778
2000,Maldives,2372
2000,Nepal,348
2000,SriLanka,28
2000,BruneiDarussalam,114
2000,Malaysia,20539
2000,Myanmar,316
2000,Philippines,412
2000,Singapore,10430
2000,Thailand,822
2000,Timor-Leste,58
2000,VietNam,525
2000,Bahrain,5268
2000,Cyprus,6
2000,Jordan,2388
2000,Kuwait,26035
2000,Lebanon,1192
2000,Oman,6586
2000,Qatar,6079
2000,SaudiArabia,127235
2000,Turkey,25
2000,UnitedArabEmirates,49767
2000,Bulgaria,134
2000,Czechia,3
2000,Hungary,6
2000,Poland,2
2000,Romania,1
2000,Russia,89
2000,Denmark,228
2000,Finland,105
2000,Ireland,641
2000,Norway,262
2000,Sweden,1360
2000,UnitedKingdom,73119
2000,Greece,150
2000,Italy,7784
2000,Malta,4
2000,Portugal,17
2000,Spain,142
2000,Austria,611
2000,Belgium,172
2000,France,842
2000,Germany,1200
2000,Luxembourg,11
2000,Netherlands,530
2000,Switzerland,375
2000,Mexico,5
2000,Bolivia,1
2000,Chile,1
2000,Canada,11548
2000,UnitedStatesofAmerica,32253
2000,Australia,3410
2000,NewZealand,592
2000,Fiji,645
2000,NorthernMarianaIslands,28
2005,Mauritius,2482
2005,Seychelles,23
2005,Uganda,125
2005,Egypt,25
2005,Libya,47
2005,Namibia,13
2005,SouthAfrica,286
2005,China,1711
2005,HongKongSAR,147
2005,NorthKorea,74
2005,Japan,5226
2005,SouthKorea,210
2005,Bhutan,13
2005,India,1706536
2005,Maldives,7716
2005,Nepal,330
2005,SriLanka,86
2005,BruneiDarussalam,116
2005,Malaysia,80998
2005,Myanmar,265
2005,Philippines,328
2005,Singapore,19955
2005,Thailand,669
2005,Timor-Leste,57
2005,VietNam,1730
2005,Bahrain,7414
2005,Cyprus,9
2005,Jordan,4275
2005,Kuwait,28461
2005,Lebanon,1098
2005,Oman,6939
2005,Qatar,8884
2005,SaudiArabia,152700
2005,Turkey,26
2005,UnitedArabEmirates,58037
2005,Bulgaria,215
2005,Czechia,9
2005,Hungary,7
2005,Poland,8
2005,Romania,1
2005,Russia,76
2005,Denmark,287
2005,Finland,245
2005,Ireland,798
2005,Norway,310
2005,Sweden,1717
2005,UnitedKingdom,82265
2005,Greece,380
2005,Italy,16566
2005,Malta,7
2005,Portugal,191
2005,Spain,685
2005,Austria,700
2005,Belgium,312
2005,France,1123
2005,Germany,1701
2005,Luxembourg,8
2005,Netherlands,652
2005,Switzerland,460
2005,Mexico,7
2005,Panama,3
2005,Bolivia,1
2005,Chile,1
2005,Canada,16271
2005,UnitedStatesofAmerica,63041
2005,Australia,6210
2005,NewZealand,707
2005,Fiji,583
2005,NorthernMarianaIslands,28
2010,Mauritius,4772
2010,Seychelles,42
2010,Uganda,125
2010,Egypt,28
2010,Libya,51
2010,Namibia,12
2010,SouthAfrica,505
2010,China,1689
2010,HongKongSAR,166
2010,NorthKorea,84
2010,Japan,5599
2010,SouthKorea,464
2010,Bhutan,16
2010,India,1570294
