root,node,count
1990,Mauritius,21
1990,Seychelles,4
1990,Uganda,9
1990,Egypt,89
1990,Libya,252
1990,Namibia,30
1990,SouthAfrica,1763
1990,China,631
1990,HongKongSAR,194
1990,NorthKorea,21
1990,Japan,1075
1990,SouthKorea,654
1990,Bhutan,16
1990,India,2324893
1990,Maldives,892
1990,Nepal,43
1990,SriLanka,5
1990,BruneiDarussalam,593
1990,Malaysia,22967
1990,Myanmar,1158
1990,Philippines,39
1990,Singapore,5840
1990,Thailand,438
1990,Timor-Leste,60
1990,VietNam,215
1990,Bahrain,18393
1990,Cyprus,159
1990,Jordan,651
1990,Kuwait,109188
1990,Lebanon,297
1990,Oman,49323
1990,Qatar,33076
1990,SaudiArabia,357396
1990,Turkey,73
1990,UnitedArabEmirates,139177
1990,Bulgaria,18
1990,Czechia,7
1990,Hungary,52
1990,Poland,57
1990,Romania,2
1990,Russia,628
1990,Denmark,78
1990,Finland,93
1990,Ireland,77
1990,Latvia,3
1990,Norway,350
1990,Sweden,1254
1990,UnitedKingdom,54463
1990,Greece,4245
1990,Italy,4827
1990,Malta,3
1990,Portugal,72
1990,Spain,205
1990,Austria,1007
1990,Belgium,179
1990,France,1432
1990,Germany,4373
1990,Luxembourg,17
1990,Netherlands,145
1990,Switzerland,571
1990,CostaRica,1
1990,ElSalvador,11
1990,Mexico,23
1990,Panama,7
1990,Bolivia,3
1990,Canada,2046
1990,UnitedStatesofAmerica,14219
1990,Australia,1388
1990,NewZealand,164
1990,Fiji,654
1990,NorthernMarianaIslands,421
1995,Mauritius,55
1995,Seychelles,8
1995,Uganda,8
1995,Egypt,121
1995,Libya,554
1995,Namibia,28
1995,SouthAfrica,1136
1995,China,896
1995,HongKongSAR,216
1995,NorthKorea,27
1995,Japan,2402
1995,SouthKorea,4078
1995,Bhutan,19
1995,India,2180615
1995,Maldives,1788
1995,Nepal,109
1995,SriLanka,75
1995,BruneiDarussalam,818
1995,Malaysia,23327
1995,Myanmar,1236
1995,Philippines,52
1995,Singapore,12247
1995,Thailand,714
1995,Timor-Leste,62
1995,VietNam,355
1995,Bahrain,21000
1995,Cyprus,224
1995,Jordan,3329
1995,Kuwait,91689
1995,Lebanon,1460
1995,Oman,78117
1995,Qatar,38020
1995,SaudiArabia,366551
1995,Turkey,177
1995,UnitedArabEmirates,188280
1995,Bulgaria,81
1995,Czechia,10
1995,Hungary,46
1995,Poland,49
1995,Romania,5
1995,Russia,658
1995,Denmark,124
1995,Finland,167
1995,Ireland,265
1995,Latvia,4
1995,Norway,245
1995,Sweden,1479
1995,UnitedKingdom,64825
1995,Greece,4374
1995,Italy,10172
1995,Malta,4
1995,Portugal,155
1995,Spain,311
1995,Austria,1145
1995,Belgium,264
1995,France,1465
1995,Germany,4507
1995,Luxembourg,16
1995,Netherlands,205
1995,Switzerland,789
1995,CostaRica,1
1995,ElSalvador,9
1995,Mexico,16
1995,Panama,9
